id,platform,topic,post_text,ground_truth_sentiment,sentiment_score,reference_translation
1,X,YCP,"The new welfare initiative announced today looks promising for rural families.",Positive,0.89,"The new welfare initiative announced today looks promising for rural families."
2,X,TDP,"Road infrastructure has improved significantly over the last few years.",Positive,0.81,"Road infrastructure has improved significantly over the last few years."
3,Facebook,YCP,"I'm disappointed that local issues are still unresolved despite repeated promises.",Negative,-0.74,"I'm disappointed that local issues are still unresolved despite repeated promises."
4,Facebook,TDP,"The public meeting was well organized and addressed many concerns.",Positive,0.76,"The public meeting was well organized and addressed many concerns."
5,YouTube,YCP,"Neither party has presented a convincing solution for employment.",Neutral,0.05,"Neither party has presented a convincing solution for employment."
6,X,TDP,"Nothing has changed despite many promises. Same old politics. 😞",Negative,-0.82,"Nothing has changed despite many promises. Same old politics."
7,X,YCP,"The government launched a good welfare scheme for pensioners. 👏",Positive,0.91,"The government launched a good welfare scheme for pensioners."
8,Facebook,JSP,"Attended the rally today. Huge crowd but no concrete policy announcements.",Neutral,0.02,"Attended the rally today. Huge crowd but no concrete policy announcements."
9,Instagram,TDP,"Power cuts every single day in our village. Who is accountable? 😡",Negative,-0.88,"Power cuts every single day in our village. Who is accountable?"
10,X,YCP,"ప్రభుత్వం ప్రకటించిన కొత్త పథకం పేద కుటుంబాలకు చాలా ఉపయోగపడుతుంది.",Positive,0.87,"The new scheme announced by the government will be very useful for poor families."
11,X,TDP,"రోడ్లు ఇంకా అధ్వాన్నంగా ఉన్నాయి. ఎన్ని హామీలు ఇచ్చినా ఏమీ మారలేదు.",Negative,-0.79,"The roads are still in terrible condition. However many promises were made, nothing has changed."
12,Facebook,YCP,"ఈ నెలలో పింఛను సకాలంలో అందింది. మంచి పరిపాలన అంటే ఇదే.",Positive,0.84,"The pension arrived on time this month. This is what good governance means."
13,YouTube,JSP,"సభలో ప్రసంగం విన్నాను. కొత్త విషయాలు పెద్దగా ఏమీ లేవు.",Neutral,0.03,"I listened to the speech at the meeting. There was hardly anything new."
14,X,TDP,"విద్యుత్ కోతలతో రైతులు తీవ్ర ఇబ్బందులు పడుతున్నారు. 😠",Negative,-0.85,"Farmers are facing severe difficulties due to power cuts."
15,Facebook,BJP,"नई सड़क परियोजना से हमारे इलाके में आवागमन बहुत आसान हो गया है।",Positive,0.82,"The new road project has made commuting in our area much easier."
16,X,INC,"महंगाई पर सरकार का कोई नियंत्रण नहीं है। जनता परेशान है।",Negative,-0.81,"The government has no control over inflation. People are distressed."
17,YouTube,BJP,"बजट में किसानों के लिए घोषणाएँ हुईं, असर देखना बाकी है।",Neutral,0.04,"Announcements were made for farmers in the budget; the impact remains to be seen."
18,X,YCP,"Ee scheme valla ma village lo chala mandiki help ayyindi. Good move! 🙌",Positive,0.78,"This scheme has helped many people in our village. Good move!"
19,Facebook,TDP,"Promises matrame, implementation zero. Chala disappointing.",Negative,-0.72,"Only promises, zero implementation. Very disappointing."
20,X,JSP,"Meeting jarigindi kani clarity ledu. Wait and see.",Neutral,0.01,"The meeting happened but there is no clarity. Wait and see."
21,Instagram,YCP,"Hospital services have genuinely improved in our district this year.",Positive,0.8,"Hospital services have genuinely improved in our district this year."
22,X,TDP,"The new bus terminal project is stuck for two years now. Total waste of money.",Negative,-0.77,"The new bus terminal project is stuck for two years now. Total waste of money."
23,Facebook,YCP,"Fee reimbursement credited on time this semester. Thank you! 🙏",Positive,0.86,"Fee reimbursement credited on time this semester. Thank you!"
24,YouTube,TDP,"The debate covered both manifestos without taking sides.",Neutral,0.0,"The debate covered both manifestos without taking sides."
25,X,INC,"పార్టీ ప్రకటించిన మేనిఫెస్టోలో పాత హామీలే మళ్లీ కనిపించాయి.",Neutral,-0.02,"The manifesto announced by the party contained the same old promises again."
26,Facebook,BJP,"గ్రామాల్లో తాగునీటి సమస్య పరిష్కారానికి చేపట్టిన పనులు బాగున్నాయి.",Positive,0.83,"The works undertaken to solve the drinking water problem in villages are good."
27,X,YCP,"स्कूलों की हालत सुधरी है, शिक्षकों की भर्ती भी हुई है। अच्छा काम।",Positive,0.79,"The condition of schools has improved and teachers have also been recruited. Good work."
28,YouTube,INC,"रैली में भीड़ थी लेकिन भाषण में कुछ नया नहीं था।",Neutral,0.02,"There was a crowd at the rally but there was nothing new in the speech."
29,X,TDP,"Pension pending for three months. Customer care lo response ledu. 😤",Negative,-0.8,"Pension pending for three months. No response from customer care."
30,Facebook,JSP,"Volunteers did a great job organizing the flood relief camps. 👍",Positive,0.85,"Volunteers did a great job organizing the flood relief camps."
31,X,BJP,"Fuel prices increased again this week. Common man is suffering.",Negative,-0.76,"Fuel prices increased again this week. Common man is suffering."
32,Instagram,YCP,"కొత్త రేషన్ కార్డుల పంపిణీ మొదలైంది, కానీ వేగం చాలా తక్కువగా ఉంది.",Neutral,-0.05,"Distribution of new ration cards has begun, but the pace is very slow."
33,X,TDP,"అమరావతి పనులు మళ్లీ మొదలవడం శుభపరిణామం. మంచి నిర్ణయం. 💪",Positive,0.88,"The resumption of Amaravati works is a welcome development. A good decision."
34,Facebook,INC,"No jobs, no growth, only speeches. This has to change.",Negative,-0.83,"No jobs, no growth, only speeches. This has to change."
35,YouTube,JSP,"చిన్న పార్టీలకు కూడా సమాన అవకాశం ఇవ్వాలి అనేది నా అభిప్రాయం.",Neutral,0.06,"My opinion is that small parties should also be given an equal opportunity."
36,X,YCP,"Housing scheme beneficiaries list released today. Transparent process. 👏",Positive,0.81,"Housing scheme beneficiaries list released today. Transparent process."
